source_file,dataset,n_images,n_scored,mean_cer,mean_wer,mean_ocr_time_sec
ocr_got.csv,blur,137,136,0.7047,1.236,5.1631
ocr_got.csv,indoor,137,136,0.5704,1.4922,6.0029
ocr_got.csv,low_light,137,136,0.5914,1.3828,5.6211
ocr_got.csv,night,137,136,0.7813,1.1922,3.5772
ocr_got.csv,original,137,136,0.5472,1.5019,6.1155
ocr_paddle_fuzzy.csv,blur,137,136,0.631,0.791,0.1389
ocr_paddle_fuzzy.csv,indoor,137,136,0.57,0.7126,0.1572
ocr_paddle_fuzzy.csv,low_light,137,136,0.5758,0.7218,0.157
ocr_paddle_fuzzy.csv,night,137,136,0.739,0.8354,0.1004
ocr_paddle_fuzzy.csv,original,137,136,0.5729,0.7135,0.1718
ocr_paddle_only.csv,blur,137,136,0.6331,0.7851,0.1564
ocr_paddle_only.csv,indoor,137,136,0.5713,0.6946,0.1741
ocr_paddle_only.csv,low_light,137,136,0.5768,0.7025,0.176
ocr_paddle_only.csv,night,137,136,0.7402,0.8339,0.1191
ocr_paddle_only.csv,original,137,136,0.5743,0.6952,0.1882
preprocess_best_plus_fuzzy.csv,blur,137,136,0.6163,0.7804,0.1434
preprocess_best_plus_fuzzy.csv,indoor,137,136,0.5669,0.7022,0.1575
preprocess_best_plus_fuzzy.csv,low_light,137,136,0.5704,0.7072,0.1568
preprocess_best_plus_fuzzy.csv,night,137,136,0.726,0.8282,0.1028
preprocess_best_plus_fuzzy.csv,original,137,136,0.5592,0.6995,0.1706
preprocess_contrast_adaptive.csv,blur,137,136,0.6524,0.7939,0.1308
preprocess_contrast_adaptive.csv,indoor,137,136,0.5968,0.715,0.147
preprocess_contrast_adaptive.csv,low_light,137,136,0.6305,0.7528,0.1353
preprocess_contrast_adaptive.csv,night,137,136,0.7678,0.8563,0.0919
preprocess_contrast_adaptive.csv,original,137,136,0.5943,0.7185,0.1615
preprocess_denoise.csv,blur,137,136,0.7333,0.8684,0.1356
preprocess_denoise.csv,indoor,137,136,0.5857,0.7613,0.1715
preprocess_denoise.csv,low_light,137,136,0.5756,0.7223,0.1692
preprocess_denoise.csv,night,137,136,0.7491,0.8347,0.1418
preprocess_denoise.csv,original,137,136,0.5825,0.7534,0.1889
preprocess_deskew.csv,blur,137,136,0.6176,0.7711,0.1465
preprocess_deskew.csv,indoor,137,136,0.5675,0.6879,0.1625
preprocess_deskew.csv,low_light,137,136,0.5702,0.6909,0.1617
preprocess_deskew.csv,night,137,136,0.7273,0.8284,0.1071
preprocess_deskew.csv,original,137,136,0.5602,0.6831,0.1763
preprocess_grayscale.csv,blur,137,136,0.6266,0.7731,0.1364
preprocess_grayscale.csv,indoor,137,136,0.5794,0.6942,0.157
preprocess_grayscale.csv,low_light,137,136,0.5791,0.6949,0.1645
preprocess_grayscale.csv,night,137,136,0.7378,0.8293,0.1056
preprocess_grayscale.csv,original,137,136,0.5862,0.697,0.1803
preprocess_multitier_fallback.csv,blur,137,136,0.6991,0.8234,0.9452
preprocess_multitier_fallback.csv,indoor,137,136,0.657,0.7682,0.9321
preprocess_multitier_fallback.csv,low_light,137,136,0.6579,0.776,0.9183
preprocess_multitier_fallback.csv,night,137,136,0.788,0.8712,1.1717
preprocess_multitier_fallback.csv,original,137,136,0.6523,0.7626,0.9566
preprocess_sharpen.csv,blur,137,136,0.6263,0.7859,0.1433
preprocess_sharpen.csv,indoor,137,136,0.6123,0.7312,0.1474
preprocess_sharpen.csv,low_light,137,136,0.5873,0.7131,0.2269
preprocess_sharpen.csv,night,137,136,0.7726,0.8422,0.089
preprocess_sharpen.csv,original,137,136,0.6433,0.7454,0.2151
preprocess_threshold.csv,blur,137,136,0.9038,0.9496,0.0549
preprocess_threshold.csv,indoor,137,136,0.8843,0.9273,0.0597
preprocess_threshold.csv,low_light,137,136,0.8912,0.9351,0.0607
preprocess_threshold.csv,night,137,136,0.9448,0.9649,0.041
preprocess_threshold.csv,original,137,136,0.8883,0.9301,0.074
preprocess_tiled_ocr.csv,blur,137,136,0.6297,0.7926,0.1992
preprocess_tiled_ocr.csv,indoor,137,136,0.5689,0.7044,0.2183
preprocess_tiled_ocr.csv,low_light,137,136,0.5762,0.713,0.2157
preprocess_tiled_ocr.csv,night,137,136,0.7515,0.8451,0.1447
preprocess_tiled_ocr.csv,original,137,136,0.5704,0.7044,0.2466
preprocess_upscale.csv,blur,137,136,0.6869,0.8192,0.2164
preprocess_upscale.csv,indoor,137,136,0.6366,0.7456,0.2434
preprocess_upscale.csv,low_light,137,136,0.6402,0.7455,0.2312
preprocess_upscale.csv,night,137,136,0.7792,0.8503,0.1761
preprocess_upscale.csv,original,137,136,0.6389,0.7393,0.2374
preprocess_upscale800.csv,blur,137,136,0.7016,0.827,0.4124
preprocess_upscale800.csv,indoor,137,136,0.6767,0.7726,0.4055
preprocess_upscale800.csv,low_light,137,136,0.6727,0.7664,0.4005
preprocess_upscale800.csv,night,137,136,0.8123,0.8751,0.3502
preprocess_upscale800.csv,original,137,136,0.6718,0.7693,0.4075
